,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Kentucky,Kentucky,GPE,0.13175231,0.71212121,en,2.30000000,4097823-0,6254925,X,38.20042000,-84.87761900,NORTH-AMERICA,United States,ENA
Afghanistan,Afghanistan,GPE,-0.21590909,0.55681818,en,2.20000000,4000687-6,1149361,X,33.00000000,66.00000000,ASIA,Afghanistan,WCA
the Great Lakes,the Great Lakes,LOC,0.24848485,0.99507576,en,2.20000000,,-1,,,,,,
Norway,Norway,GPE,0.18106061,0.79545455,en,2.20000000,4042640-3,3144096,X,62.00000000,10.00000000,EUROPE,Norway,NEU
Jupiter,Jupiter,LOC,0.09118457,1.44738292,en,2.20000000,,-1,,,,,,
Atlantic,Atlantic,LOC,0.11363636,0.54545455,en,2.20000000,,-1,,,,,,
Virginia,Virginia,GPE,0.04318182,0.53977273,en,2.00000000,4063592-2,6254928,X,37.54811900,-77.44674900,NORTH-AMERICA,United States,ENA
Mexico,Mexico,GPE,-0.08333333,0.28055556,en,2.00000000,,-1,,,,,,
Japan,Japan,GPE,0.15208333,1.16000000,en,2.00000000,4028495-5,1861060,X,35.68536000,139.75308900,ASIA,Japan,EAS
Fresno,Fresno,GPE,0.28289474,0.69517544,en,1.90000000,,-1,,,,,,
Greenland,Greenland,GPE,-0.17543860,1.05263158,en,1.90000000,4022113-1,3425505,X,72.00000000,-40.00000000,POLAR,Greenland,GIC
Mars,Mars,LOC,0.06798246,0.25657895,en,1.90000000,,-1,,,,,,
dayslong,dayslong,GPE,-0.11842105,1.43128655,en,1.90000000,,-1,,,,,,
Los Angeles,Los Angeles,GPE,-0.40301435,0.91258373,en,1.90000000,,-1,,,,,,
Kingston,Kingston,GPE,-1.01315789,1.77631579,en,1.90000000,,-1,,,,,,
Jackrabbits,Jackrabbits,LOC,-0.63157895,1.05263158,en,1.90000000,,-1,,,,,,
Northern Iowa,Northern Iowa,LOC,0.36842105,0.26315789,en,1.90000000,,-1,,,,,,
I.A.,I.A.,GPE,-0.31578947,0.52631579,en,1.90000000,,-1,,,,,,
Maritimes,Maritimes,GPE,-0.27368421,0.65263158,en,1.90000000,,-1,,,,,,
Detroit,Detroit,GPE,-0.30701754,0.57017544,en,1.90000000,4011559-8,4990729,X,42.33142900,-83.04574900,NORTH-AMERICA,United States,ENA
San Marcos,San Marcos,GPE,-0.21052632,0.52631579,en,1.90000000,,-1,,,,,,
